dcterms:title,schema:artform,dcterms:alternative,crm:P1_is_identified_by,crm:P54_has_current_permanent_location,schema:geo,dcterms:temporal,crm:P4_has_time-span,crm:P7_took_place_at,schema:locationCreated,schema:geographicArea,schema:creator,schema:contributor,crm:P15_was_influenced_by,dcterms:abstract,crm:P72_has_language,dcterms:subject,schema:itemCondition,schema:observationDate,crm:P31i_was_modified_by,schema:dateModified,dcterms:date,dcterms:isPartOf,dcterms:hasPart,crm:P59_has_section,schema:artworkSurface,dcterms:isReferencedBy,dcterms:source,dcterms:identifier,dcterms:creator,dcterms:created,dcterms:modified,dcterms:references,dcterms:accessRights,crm:P138i_has_representation,dcterms:image
"Carte Pisane, Paris, BnF, GE B-1118 RES, manuscrit Vers 1270",manuscrit§carte géographique,"Carte marine de l'océan Atlantique Est, de la mer Méditerranée et d'une partie de la mer Noire, connue sous le nom de Carte Pisane Carta pisana.",GE B-1118 (RES),BnF - département des Cartes et plans,"48.834355,2.373378",1270,1265§1275,2e moitié 13e siècle§2e moitié 13e siècle,Gênes§?,"44.40478,8.94439",,,,"L’âge radiocarbone de la carte est 810 ± 30 ans BP, ce qui correspond à une date comprise entre 1170 et 1270 après J.‐C.",Italien,carte marine§carte géographique§mer Méditerranée§Europe§Afrique du nord§Asie occidentale§Une échelle,,,,,,,,,0146bb6f-f8a0-4e5c-8231-f2803db07f93_002§0146bb6f-f8a0-4e5c-8231-f2803db07f93_003§0146bb6f-f8a0-4e5c-8231-f2803db07f93_004§0146bb6f-f8a0-4e5c-8231-f2803db07f93_005§0146bb6f-f8a0-4e5c-8231-f2803db07f93_006§0146bb6f-f8a0-4e5c-8231-f2803db07f93_007,"Carte Pisane, Paris, BnF, GE B-1118 (RES), manuscrit (Vers 1270 - )§Notice bibliographique - BnF Archives et Manuscrits§Numérisation effectuée à partir d'un document original",https://agorha.inha.fr/ark:/54721/0146bb6f-f8a0-4e5c-8231-f2803db07f93§https://catalogue.bnf.fr/ark:/12148/cb406673515§https://gallica.bnf.fr/view3if/ga/ark:/12148/btv1b52503226n,0146bb6f-f8a0-4e5c-8231-f2803db07f93,Teresa Knapowska,12/05/2023,11/04/2024,La fabrique de l'art. Couleurs et matériaux de l'enluminure,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://gallica.bnf.fr/iiif/ark:/12148/btv1b52503226n/f1/manifest.json,"https://gallica.bnf.fr/iiif/ark:/12148/btv1b52503226n/f1/full/!600,600/0/default.jpg"
"Cresques, Abraham 11/07/1325 - 03/11/1387, attribué à, Atlas Catalan, Paris, BNF, Espagnol 30, manuscrit Vers 1375",manuscrit§carte géographique,"double feuillet n°3 , f2v-3r",Espagnol 30,BnF - département des Manuscrits,"48.834355,2.373378",1375,1370§1380,14e siècle,Palma Majorque,"39.56939,2.65024","Cresques, Abraham§Cresques, Jafudà","Cresques, Abraham",,Identification de la provenance incertaine,Catalan,,"oeuvre restaurée§bon état§Parchemin ; 6 doubles feuillets de parchemin, collés sur cinq planches de bois (recto et verso) et sur les contreplats en bois de la reliure.",,première restauration§seconde restauration,1797§1797§1991§1991,,,,,ddb1f727-103d-46c9-b87f-30542d85a8ce_002,"Cresques, Abraham 11/07/1325 - 03/11/1387, attribué à, Atlas Catalan, Paris, BNF, Espagnol 30, manuscrit (Vers 1375 - )§Notice bibliographique - BnF Archives et Manuscrits§Numérisation effectuée à partir d'un document original§base iconographique§Mandragore, base iconographique de la BnF",https://agorha.inha.fr/ark:/54721/ddb1f727-103d-46c9-b87f-30542d85a8ce§https://archivesetmanuscrits.bnf.fr/ark:/12148/cc78545v§https://gallica.bnf.fr/ark:/12148/btv1b52509636n§https://portail.biblissima.fr/fr/ark:/43093/ifdata82fd658695463af370d8d2151e9f49f7fbc052ae§http://mandragore.bnf.fr/ark:/12148/cgfbt12413b,ddb1f727-103d-46c9-b87f-30542d85a8ce,Teresa Knapowska,03/11/2022,03/04/2024,La fabrique de l'art. Couleurs et matériaux de l'enluminure,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://gallica.bnf.fr/iiif/ark:/12148/btv1b52509636n/f1/manifest.json,"https://gallica.bnf.fr/iiif/ark:/12148/btv1b52509636n/f1/full/!600,600/0/default.jpg"
"Cresques, Abraham 11/07/1325 - 03/11/1387, attribué à, Atlas Catalan, Mappemonde ; Proche-Orient et Méditerranée orientale, Paris BnF Espagnol 30 double feuillet n°5, enluminure Vers 1375",enluminure§manuscrit§carte géographique,ff. 4v-5r,Espagnol 30,BnF - département des Manuscrits,"48.834355,2.373378",1375,1370§1380,14e siècle,Palma Majorque,"39.56939,2.65024","Cresques, Abraham§Cresques, Jafudà","Cresques, Abraham",,Identification de la provenance incertaine,Catalan,Mappemonde§mer Adriatique§Afrique§Albanie§Allemagne§armoiries§autel§Autriche§bannière§Bohême§bouclier§Bulgarie§carte§chameau§Chypre§Cilicie§cité§Corse§ cours d'eau§Crète§Danube§église§Egypte§éléphant§Euphrate§Europe§fouet§Géorgie§Grèce§Hongrie§île§Irak§Israël§Italie§Jérusalem§Jordanie§Jourdain§Liban§Libye§Malte§planisphère§mer Méditerranée§mer Egée§mer Morte§mer Rouge§Nil§nudité§Pannonie§perroquet§Pologne§Rhodes§roi§Roumanie§Russie§sabre§ sainte Catherine d'Alexandrie§Sardaigne§sarmate§maure§Sicile§Mont Sinaï§Slovaquie§Soudan§ chef d'état de Turquie§Syrie§République Tchèque§Thrace§Tunisie§turban§Turquie§Ukraine§Yougoslavie,"oeuvre restaurée§bon état§Parchemin ; 6 doubles feuillets de parchemin, collés sur cinq planches de bois (recto et verso) et sur les contreplats en bois de la reliure.",,,,,,,974f154a-cd61-4de4-97ab-328cd0078b48_001§974f154a-cd61-4de4-97ab-328cd0078b48_002§974f154a-cd61-4de4-97ab-328cd0078b48_003§974f154a-cd61-4de4-97ab-328cd0078b48_004§974f154a-cd61-4de4-97ab-328cd0078b48_005§974f154a-cd61-4de4-97ab-328cd0078b48_006§974f154a-cd61-4de4-97ab-328cd0078b48_007§974f154a-cd61-4de4-97ab-328cd0078b48_008§974f154a-cd61-4de4-97ab-328cd0078b48_009§974f154a-cd61-4de4-97ab-328cd0078b48_010,,"Cresques, Abraham 11/07/1325 - 03/11/1387, attribué à, Atlas Catalan, Mappemonde ; Proche-Orient et Méditerranée orientale, Paris BnF Espagnol 30 double feuillet n°5, enluminure (Vers 1375 - )§Notice bibliographique - BnF Archives et Manuscrits§Numérisation effectuée à partir d'un document original§base iconographique§Mandragore, base iconographique de la BnF",https://agorha.inha.fr/ark:/54721/974f154a-cd61-4de4-97ab-328cd0078b48§https://archivesetmanuscrits.bnf.fr/ark:/12148/cc78545v§https://gallica.bnf.fr/ark:/12148/btv1b52509636n/f6.item§https://portail.biblissima.fr/fr/ark:/43093/ifdata4acc079cac0ce147c33feaa64cbd8f4d4b116ffd§http://mandragore.bnf.fr/jsp/feuilleterNoticesImageArk.jsp?numero=7&id=12411&idPere=,974f154a-cd61-4de4-97ab-328cd0078b48,Teresa Knapowska,06/05/2022,03/05/2024,La fabrique de l'art. Couleurs et matériaux de l'enluminure,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/974f154a-cd61-4de4-97ab-328cd0078b48,https://agorha.inha.fr/ark:/54721/87063394-2383-466e-9525-b8faf9649b2c/doc/de64f2d6-c543-40ed-89b9-15ac0837957e/original.jpg
"Cresques, Abraham 11/07/1325 - 03/11/1387, attribué à, Atlas Catalan, Mappemonde ; panneau du roi Mussa, Paris, BNF Espagnol 30 double feuillet n°6, enluminure Vers 1375",enluminure§manuscrit§carte géographique,contreplat inférieur correspondant au panneau du roi Mussa points d'analyse seulement sur le f. 5v,Espagnol 30,BnF - département des Manuscrits,"48.834355,2.373378",1375,1370§1380,14e siècle,Palma Majorque,"39.56939,2.65024","Cresques, Abraham§Cresques, Jafudà","Cresques, Abraham",,Identification de la provenance incertaine,Catalan,Mappemonde§bannière§bateau§carte§cavalier§cité§ cours d'eau§Afrique§Algérie§Allemagne§Alpes§Angleterre§armoire§océan Atlantique§Baléares§Belgique§Iles Canaries§chameau§Corse§Danemark§Ecosse§Espagne§Europe§fouet§France§île§Irlande§Italie§lac§Madère§Mali§Manche§planisphère§Maroc§mer Méditerranée§mer du Nord§Atlas§Norvège§Pays-Bas§Pologne§Portugal§Pyrénées§roi§rose des vents§Sardaigne§Slovaquie§Suède§République Tchèque§Tunisie§turban,"oeuvre restaurée§bon état§Parchemin ; 6 doubles feuillets de parchemin, collés sur cinq planches de bois (recto et verso) et sur les contreplats en bois de la reliure.",,,,,,,6cbbac7a-bf6f-4359-b99f-b706afc04799_002§6cbbac7a-bf6f-4359-b99f-b706afc04799_003§6cbbac7a-bf6f-4359-b99f-b706afc04799_004§6cbbac7a-bf6f-4359-b99f-b706afc04799_005§6cbbac7a-bf6f-4359-b99f-b706afc04799_006§6cbbac7a-bf6f-4359-b99f-b706afc04799_008§6cbbac7a-bf6f-4359-b99f-b706afc04799_009§6cbbac7a-bf6f-4359-b99f-b706afc04799_010§6cbbac7a-bf6f-4359-b99f-b706afc04799_011§6cbbac7a-bf6f-4359-b99f-b706afc04799_012§6cbbac7a-bf6f-4359-b99f-b706afc04799_013§6cbbac7a-bf6f-4359-b99f-b706afc04799_014,6cbbac7a-bf6f-4359-b99f-b706afc04799_001§6cbbac7a-bf6f-4359-b99f-b706afc04799_007,"Cresques, Abraham 11/07/1325 - 03/11/1387, attribué à, Atlas Catalan, Mappemonde ; panneau du roi Mussa, Paris, BNF Espagnol 30 double feuillet n°6), enluminure (Vers 1375 - )§Notice bibliographique - BnF Archives et Manuscrits§Numérisation effectuée à partir d'un document original§base iconographique§Mandragore, base iconographique de la BnF",https://agorha.inha.fr/ark:/54721/6cbbac7a-bf6f-4359-b99f-b706afc04799§https://archivesetmanuscrits.bnf.fr/ark:/12148/cc78545v§https://gallica.bnf.fr/ark:/12148/btv1b52509636n/f7§https://portail.biblissima.fr/fr/ark:/43093/ifdata37654cc731ce5c98f4ff21d1eb4a7e6f6174394f§http://mandragore.bnf.fr/jsp/feuilleterNoticesImageArk.jsp?numero=6&id=12410&idPere=,6cbbac7a-bf6f-4359-b99f-b706afc04799,Teresa Knapowska,26/04/2022,03/05/2024,La fabrique de l'art. Couleurs et matériaux de l'enluminure,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/6cbbac7a-bf6f-4359-b99f-b706afc04799,https://agorha.inha.fr/ark:/54721/92a2fe52-7e2a-48f5-8230-4a5683a3ec38/doc/ac7d17a2-ab63-45f0-b6f5-5219e450b1f9/original.jpg
"Cresques, Abraham 11/07/1325 - 03/11/1387, attribué à, Atlas Catalan, Mappemonde ; panneau du jugement dernier, Paris, BNF Espagnol 30 double feuillet n°3, enluminure Vers 1375",enluminure§manuscrit§carte géographique,"double feuillet n°3 , f2v-3r",Espagnol 30,BnF - département des Manuscrits,"48.834355,2.373378",1375,1370§1380,14e siècle,Palma Majorque,"39.56939,2.65024","Cresques, Abraham§Cresques, Jafudà","Cresques, Abraham",,Identification de la provenance incertaine,Catalan,"Mappemonde§acclamation§Afghanistan§Pâris myth§Antichrist§arbre§armée§Asie§bannière§bateau§Pékin§cadavre§carte§cavalier§cheval§Chine§cité§combat§ cours d'eau§couteau§crémation§crosse§dais§éléphant§enfant de choeur§épée§extraction§faucon§flûte§fortification§grotte§grue§harnais§île§Inde§lac§lance§massue§planisphère§monastère§moniale§musicien§nain§nudité§numéraire§Océan§oiseau§océan Pacifique§pêcheur§poisson§reine§rocher§roi§Satan§scorpion§ophidien§sirène myth§statue§trompe§vièle§Vietnam§Asie orientale depuis l’océan jusqu’à l’Inde§Figure du Jugement Dernier et du prince de Gog et Magog§Montagnes Caspiennes gardées par Alexandre le Grand§Chine : Catayo§Ile de Taprobane et Illa Jana, Inde","oeuvre restaurée§bon état§Parchemin ; 6 doubles feuillets de parchemin, collés sur cinq planches de bois (recto et verso) et sur les contreplats en bois de la reliure.",,,,,,,da0fa0bd-1018-46f9-8a06-ff1cf2c51335_002§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_003§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_004§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_005§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_006§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_007§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_008§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_009§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_010§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_011§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_012§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_013§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_014§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_015§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_016§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_017§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_018§da0fa0bd-1018-46f9-8a06-ff1cf2c51335_019,da0fa0bd-1018-46f9-8a06-ff1cf2c51335_001,"Cresques, Abraham 11/07/1325 - 03/11/1387, attribué à, Atlas Catalan, Mappemonde ; panneau du jugement dernier, Paris, BNF Espagnol 30 double feuillet n°3, enluminure (Vers 1375 - )§Notice bibliographique - BnF Archives et Manuscrits§Numérisation effectuée à partir d'un document original§base iconographique§Mandragore, base iconographique de la BnF",https://agorha.inha.fr/ark:/54721/da0fa0bd-1018-46f9-8a06-ff1cf2c51335§https://archivesetmanuscrits.bnf.fr/ark:/12148/cc78545v§https://gallica.bnf.fr/ark:/12148/btv1b52509636n§https://portail.biblissima.fr/fr/ark:/43093/ifdata82fd658695463af370d8d2151e9f49f7fbc052ae§http://mandragore.bnf.fr/ark:/12148/cgfbt12413b,da0fa0bd-1018-46f9-8a06-ff1cf2c51335,Teresa Knapowska,05/05/2022,03/05/2024,La fabrique de l'art. Couleurs et matériaux de l'enluminure,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/da0fa0bd-1018-46f9-8a06-ff1cf2c51335,https://agorha.inha.fr/ark:/54721/8925f577-454f-44fb-a90c-2a3a7a561fab/doc/49716f2f-02a3-4f78-97da-db4f6ace05e5/original.jpg
"Évangéliaire de Gaignières, initiale P, BnF, Latin 1126, f.15v",enluminure§manuscrit,,Latin 1126,BnF - département des Manuscrits,"48.834355,2.373378",1er quart du 11e siècle,0996§1030,11e siècle,Saint-Benoît-sur-Loire§Abbaye de Fleury-sur-Loire,"47.80561,2.31274",Nivardus,,,sous l’abbé Gauzlin (1004-1030)§enlumineur,,,,,,,,https://agorha.inha.fr/ark:/54721/f7f9f6d8-226c-413d-b44a-593955b1b1e2,,8c9334ed-75f0-4de6-a1db-77baa0e8e7be_001,,"Nivardus 11e siècle - , attribué à, Évangéliaire de Gaignières, initiale ""P"", BnF, Latin 1126, f.15v, enluminure (Vers 1er quart du 11e siècle - )§Notice bibliographique - BnF Archives et Manuscrits§Gallica - numérisation d'un manuscrit original§Biblissima, Aubervilliers",https://agorha.inha.fr/ark:/54721/8c9334ed-75f0-4de6-a1db-77baa0e8e7be§https://archivesetmanuscrits.bnf.fr/ark:/12148/cc59052d§https://gallica.bnf.fr/ark:/12148/btv1b10539552x/f36.item.zoom§https://portail.biblissima.fr/fr/ark:/43093/ifdatafe60425949a3f9ebd3c5020fd97b959f153af566,8c9334ed-75f0-4de6-a1db-77baa0e8e7be,Teresa Knapowska,20/05/2022,12/03/2024,La fabrique de l'art. Couleurs et matériaux de l'enluminure,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/8c9334ed-75f0-4de6-a1db-77baa0e8e7be,https://agorha.inha.fr/ark:/54721/45f0af25-7674-4c40-acc8-67c7102a4b8a/doc/e9af47e7-01f5-4ac4-8027-99c9d515332d/original.jpg
"Evangiles dits de Saint-Denis, Canons, Paris, BnF, Latin 9387, f.12r, enluminure 2e moitié du 9e siècle",enluminure§manuscrit,Evangelia quattuor Evangiles dits de Saint-Denis,Latin 9387,BnF - département des Manuscrits,"48.834355,2.373378",2e moitié du 9e siècle,0851§0900,9e siècle,"France§Nord de la France§Nord ou Nord-Est de la France§Saint-Denis Seine-Saint-Denis§Basilique cathédrale Saint-Denis, ancienne abbaye Saint-Denis","46,2§50.007739,2.548828§48.91421,2.47604§48.91421,2.47604",,,,,Latin§ Grec ancien jusqu'à 1453,"Bible, Nouveau Testament, canons : Canons§colonne§chapiteau§oiseau§Nouveau Testament",,,,,,,,1aeabc29-a94d-45bf-b398-7b71017ca373_001§1aeabc29-a94d-45bf-b398-7b71017ca373_002,,"Evangiles dits de Saint-Denis, Canons, Paris, BnF, Latin 9387, f.12r, enluminure (2e moitié du 9e siècle - )§Notice bibliographique - BnF Archives et Manuscrits§Gallica - numérisation d'un manuscrit original§Biblissima, Aubervilliers§Mandragore - base iconographique - BnF Département des Manuscrits",https://agorha.inha.fr/ark:/54721/1aeabc29-a94d-45bf-b398-7b71017ca373§https://archivesetmanuscrits.bnf.fr/ark:/12148/cc57235s§https://gallica.bnf.fr/ark:/12148/btv1b550014262§https://portail.biblissima.fr/fr/ark:/43093/mdata33a42ef9e03c9ba597a38ab905116e9ecdec9981§https://mandragore.bnf.fr/ark:/12148/cgfbt110077q,1aeabc29-a94d-45bf-b398-7b71017ca373,Teresa Knapowska,09/06/2022,11/03/2024,La fabrique de l'art. Couleurs et matériaux de l'enluminure,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/1aeabc29-a94d-45bf-b398-7b71017ca373,https://agorha.inha.fr/ark:/54721/d4561ea6-7869-48b5-b813-774d7698c512/doc/3b654332-9825-410d-ac35-ec193b099ac2/original.jpg
"Évangéliaire de Gaignières, Page avec réparation de parchemin coloré, BnF, Latin 1126, f. 66v",enluminure§manuscrit,,Latin 1126,BnF - département des Manuscrits,"48.834355,2.373378",1er quart du 11e siècle,0996§1030,11e siècle,Saint-Benoît-sur-Loire§Abbaye de Fleury-sur-Loire,"47.80561,2.31274",Nivardus,,,sous l’abbé Gauzlin (1004-1030)§enlumineur,,,,,,,,https://agorha.inha.fr/ark:/54721/f7f9f6d8-226c-413d-b44a-593955b1b1e2,,,ee3a0b57-629a-4f76-92a9-e322fdef69b1_001§ee3a0b57-629a-4f76-92a9-e322fdef69b1_002,"Nivardus 11e siècle - , attribué à, Évangéliaire de Gaignières, Page avec réparation de parchemin coloré, BnF, Latin 1126, f. 66v, enluminure (Vers 1er quart du 11e siècle - )§Notice bibliographique - BnF Archives et Manuscrits§Gallica - numérisation d'un manuscrit original§Biblissima, Aubervilliers§Mandragore - base iconographique - BnF Département des Manuscrits",https://agorha.inha.fr/ark:/54721/ee3a0b57-629a-4f76-92a9-e322fdef69b1§https://archivesetmanuscrits.bnf.fr/ark:/12148/cc59052d§https://gallica.bnf.fr/ark:/12148/btv1b10539552x/f138.highres§https://portail.biblissima.fr/fr/ark:/43093/mdataddc54e01f2d9c6440df106309bbbcd57f55878a0§http://visualiseur.bnf.fr/Visualiseur?Destination=Mandragore&O=10539552&E=8&I=110743&M=imageseule,ee3a0b57-629a-4f76-92a9-e322fdef69b1,Teresa Knapowska,19/05/2022,12/03/2024,La fabrique de l'art. Couleurs et matériaux de l'enluminure,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/ee3a0b57-629a-4f76-92a9-e322fdef69b1,https://agorha.inha.fr/ark:/54721/aae51735-aa0b-4beb-a0c9-f5ca3d743696/doc/a1d1270b-8ecb-473e-ba66-7fbd08279d56/original.jpg
"Homère , Iliade ambrosienne, Biblioteca Ambrosiana, Milan, Cod. F. 205 Inf., f.20v, manuscrit 500",manuscrit§enluminure,Ilias Picta,F 205 inf. (S.P.10/22-26; gr. 1019),Bibliothèque Ambrosienne Milan,"45.46361388888889,9.186005555555555",500,0500§0500,Antiquité tardive§entre 493 et 508 (Ranuccio Bandinelli),Alexandrie Égypte,"31.2,29.917",,,,,Grec ancien jusqu'à 1453,Arès retourne à l'Olympe et se plaint à Zeus de la violence de Diomède à l'égard des dieux.§Mars myth§Olympe§Zeus§Minerve§Junon§Vénus,,,,,,,,ad053bb0-961b-4162-80cc-de042b1fb775_001§ad053bb0-961b-4162-80cc-de042b1fb775_002§ad053bb0-961b-4162-80cc-de042b1fb775_003§ad053bb0-961b-4162-80cc-de042b1fb775_004§ad053bb0-961b-4162-80cc-de042b1fb775_005§ad053bb0-961b-4162-80cc-de042b1fb775_006§ad053bb0-961b-4162-80cc-de042b1fb775_007§ad053bb0-961b-4162-80cc-de042b1fb775_008§ad053bb0-961b-4162-80cc-de042b1fb775_009§ad053bb0-961b-4162-80cc-de042b1fb775_010§ad053bb0-961b-4162-80cc-de042b1fb775_011§ad053bb0-961b-4162-80cc-de042b1fb775_012§ad053bb0-961b-4162-80cc-de042b1fb775_013§ad053bb0-961b-4162-80cc-de042b1fb775_014,,"Homère , Iliade ambrosienne, Biblioteca Ambrosiana, Milan, Cod. F. 205 Inf., f.20v, manuscrit (500 - )§Notice bibliographique§numérisation d'un manuscrit original§The Warburg Institute Iconographic Database",https://agorha.inha.fr/ark:/54721/ad053bb0-961b-4162-80cc-de042b1fb775§https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:50617§http://213.21.172.25/0b02da8280051bb9§https://iconographic.warburg.sas.ac.uk/object-wpc-wid-ebmv,ad053bb0-961b-4162-80cc-de042b1fb775,Teresa Knapowska,21/07/2023,14/05/2024,La fabrique de l'art. Couleurs et matériaux de l'enluminure,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/ad053bb0-961b-4162-80cc-de042b1fb775,https://agorha.inha.fr/ark:/54721/8ebcfc8a-b2df-4d51-b4e9-de1892556e51/doc/f48424e2-3ab3-4d30-9daa-4e688d5dc63a/original.JPG
"Homère , Iliade ambrosienne, Biblioteca Ambrosiana, Milan, Cod. F. 205 Inf., f.4v, manuscrit 500",manuscrit§enluminure,Ilias Picta,F 205 inf. (S.P.10/22-26; gr. 1019),Bibliothèque Ambrosienne Milan,"45.46361388888889,9.186005555555555",500,0500§0500,Antiquité tardive§entre 493 et 508 (Ranuccio Bandinelli),Alexandrie Égypte,"31.2,29.917",,,,,Grec ancien jusqu'à 1453,Agamemnon et les autres princes sacrifient Apollon§Agamemnon§prince§Apollon§sacrifice,,,,,,,,72056137-01c7-4e92-a3fd-09f2f5e76e7c_001§72056137-01c7-4e92-a3fd-09f2f5e76e7c_002§72056137-01c7-4e92-a3fd-09f2f5e76e7c_003§72056137-01c7-4e92-a3fd-09f2f5e76e7c_004§72056137-01c7-4e92-a3fd-09f2f5e76e7c_005§72056137-01c7-4e92-a3fd-09f2f5e76e7c_006§72056137-01c7-4e92-a3fd-09f2f5e76e7c_007§72056137-01c7-4e92-a3fd-09f2f5e76e7c_008§72056137-01c7-4e92-a3fd-09f2f5e76e7c_009,,"Homère , Iliade ambrosienne, Biblioteca Ambrosiana, Milan, Cod. F. 205 Inf., f.4v, manuscrit (500 - )§Notice bibliographique§numérisation d'un manuscrit original§The Warburg Institute Iconographic Database",https://agorha.inha.fr/ark:/54721/72056137-01c7-4e92-a3fd-09f2f5e76e7c§https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:50617§http://213.21.172.25/0b02da8280051bb9§https://iconographic.warburg.sas.ac.uk/object-wpc-wid-ebmv,72056137-01c7-4e92-a3fd-09f2f5e76e7c,Teresa Knapowska,21/07/2023,21/03/2024,La fabrique de l'art. Couleurs et matériaux de l'enluminure,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/72056137-01c7-4e92-a3fd-09f2f5e76e7c,https://agorha.inha.fr/ark:/54721/f320fec6-5bf3-4bc1-ae19-b7d559c7d481/doc/af2699ad-4dc4-40ef-9f27-9937aa7a44d4/original.JPG
