dcterms:identifier,dcterms:image
f15e4e4b-70ca-4406-aa3c-560c9e64b118_004,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_005,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_006,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_007,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_008,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_009,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_010,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_012,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_013,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_014,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_015,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_016,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_017,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_018,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_019,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
