crm:P2_has_type,dcterms:subject,dcterms:identifier,schema:position,dcterms:type,schema:artMedium,schema:color,schema:depth,schema:itemCondition,schema:material,schema:status,schema:measurementMethod,schema:hasMeasurement,schema:observationDate,dcterms:abstract,crm:P106i_forms_part_of,dcterms:isReferencedBy,dcterms:source,dcterms:creator,dcterms:created,dcterms:modified,dcterms:references,dcterms:accessRights,dcterms:title,schema:artform,crm:P1_is_identified_by,crm:P54_has_current_permanent_location,schema:geo,crm:P4_has_time-span,schema:locationCreated,schema:geographicArea,schema:creator,schema:contributor,crm:P15_was_influenced_by
Support,,f15e4e4b-70ca-4406-aa3c-560c9e64b118_001,,,peinture à l'huile,,,,bois,,,,,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Support,,f15e4e4b-70ca-4406-aa3c-560c9e64b118_002,ensemble du panneau,Panneau,,,,,peuplier,observé,,,1965,"Une planche agrandie à son bord inférieur par un tasseau de 32 à 34 mm de haut fait du même bois peuplier d'après la radiographie et les prélèvements faits par le Centre Technique du Bois en 1988. Ces deux éléments sont disposés avec un fil horizontal. La planche principale présente un débit tangentiel situé à distance du cœur, avec une légère inclinaison du plan de coupe par rapport à l'axe de la grume d'origine. La planche étant plus près du coeur vers la gauche du panneau regardé par la face. La partie centrale est noueuse avec de nombreux petits nœuds regroupés en plages.     Le tasseau inférieur présente un fil légèrement oblique. Il comporte un nœud longitudinal de 15 mm de diamètre. Une pièce de toile placée à cheval sur le tasseau et la planche principale couvre ce noeud. Le tasseau est actuellement fixé par trois clous forgés de 6,8 à 8 cm de long engagés par la tranche inférieure. Une pointe sans tête d'allure proche de ces trois clous est fiché obliquement dans l'angle inférieur. On note l'existence d'une cavité de clou de même orientation que les autres, se développant à partir du bord inférieur mais de plus grande longueur que celle des clous fixant le tasseau soit environ 10 cm. Sur le bord inférieur, il n'existe pas de trace d'une tête autour de la cavité de ce clou. Il pourrait donc s'agir d'un clou de fixation original.     Trois clous forgés, engagés par la face et coupés au revers, sont disposés verticalement sur une ligne située à 21 cm du bord droit. Les têtes de clous sont isolés de la préparation par de petites pièces de toile. Ils sont situés respectivement à 48, 210 et 430 mm du bord inférieur. Une décoloration de la texture ligneuse est observée sur une largeur de 4 cm environ, de part et d'autre de la ligne des clous. Elle correspond à l'emplacement d'un tasseau cloué perpendiculairement au panneau et maintenu par ces trois clous. Une incision verticale au revers correspond au bord dextre de ce tasseau. Le panneau actuellement conservé est recoupé sur ses quatre côtés comme l'indique les galeries ouvertes sur les bords horizontaux et l'existence d'une barbe sur les quatre côtés de la composition peinte. L'examen du revers montre trois arrachements selon le fil du bois, étagés le long du bord dextre. Une cavité importante est également présente près de l'angle supérieur senestre.     Une atteinte xylophage importante était présente lors de l'acquisition en 1988, le long du bord supérieur. L'importance des galeries a provoqué un affaissement de la couche picturale en haut au centre. Une intervention complexe de restauration a permis une remise à niveau partielle de cette partie s'étendant sur 7,2 cm de large et 3 cm de haut. Une autre atteinte profonde affecte l'angle supérieur dextre : des pièces de bois ont été posées à ce niveau.  Lors de l'acquisition, le tableau présentait deux agrandissements latéraux enlevés depuis. La radiographie garde la trace des emplacements des clous qui fixaient ces parties sur les deux bords latéraux. ",f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche préparatoire,,f15e4e4b-70ca-4406-aa3c-560c9e64b118_003,entre le support et les couches colorées§ensemble du panneau,Préparation,système pictural multicouche§deux couches principales,blanc§blanc jaunâtre,,,sulfate de calcium,caractérisé,MC,,1988,La mise en place de la composition s'est effectuée à l'aide d'un important réseau de lignes incisées dans l'architecture et par un dessin sous-jacent peint. On observe un point de perspective centrale employé pour toute la composition et situé entre les deux fenêtres. Une ligne verticale et une horizontale se recoupent au point central du format et forment des repères dans la composition. Des modifications entre les lignes incisées et la composition peinte correspondent à des repentirs en cours d'exécution.  Le dessins sous-jacent est un dessin à main levée sans indice d'une technique de report.  ,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258§F. M., Rapport 3137 (dossier EROS F11258) 02/05/1988 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258§Elisabeth Martin, Rapport 3137a (dossier EROS F11258) 23/11/1988 - , Centre de Recherche et de Restauration des Musées de France, Paris, D11258",412ec0ea-6925-4a0c-8176-90743cb32107§b123dcdc-4016-4a87-a2b0-19403de894cd§427f8776-5e50-44ce-96df-a1b9a555802e,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,décor§sol,f15e4e4b-70ca-4406-aa3c-560c9e64b118_004§coupe5699,coupe5699c02§quart inférieur dextre,Couche picturale,,brun§marron,,,blanc de plomb§vermillon§pigment noir,caractérisé,MC,,1988,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"F. M., Rapport 3137 (dossier EROS F11258) 02/05/1988 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",b123dcdc-4016-4a87-a2b0-19403de894cd,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche non-peinte,décor§sol,f15e4e4b-70ca-4406-aa3c-560c9e64b118_005§coupe5699,coupe5699c03§quart inférieur dextre,Couche de vernis,,marron,20 µm,,,,,,1988,Vernis fluorescent sous UV gras,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"F. M., Rapport 3137 (dossier EROS F11258) 02/05/1988 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",b123dcdc-4016-4a87-a2b0-19403de894cd,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,décor§sol,f15e4e4b-70ca-4406-aa3c-560c9e64b118_006§coupe5699,coupe5699c04§quart inférieur dextre,Repeint,sous couche,blanc§marron,30 µm,,carbonate de calcium§ocre,caractérisé,MC,,1988,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"F. M., Rapport 3137 (dossier EROS F11258) 02/05/1988 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",b123dcdc-4016-4a87-a2b0-19403de894cd,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,décor§sol,f15e4e4b-70ca-4406-aa3c-560c9e64b118_007§coupe5699,coupe5699c05§quart inférieur dextre,Repeint,superposition peinture,brun§rose§rose marron§marron,30 µm,,,,,,,Couche à l'huile ,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"F. M., Rapport 3137 (dossier EROS F11258) 02/05/1988 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",b123dcdc-4016-4a87-a2b0-19403de894cd,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,vitrail de gauche,f15e4e4b-70ca-4406-aa3c-560c9e64b118_008§coupe5867,coupe5867c02§quart supérieur dextre,Assiette,sous couche,rouge,10 µm,,ocre,caractérisé,microsonde§coloration§MFX,,1988,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Martin, Rapport 3137a (dossier EROS F11258) 23/11/1988 - , Centre de Recherche et de Restauration des Musées de France, Paris, D11258§Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",427f8776-5e50-44ce-96df-a1b9a555802e§412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Décor,vitrail de gauche,f15e4e4b-70ca-4406-aa3c-560c9e64b118_009§coupe5867,coupe5867c03§quart supérieur dextre,Feuille métallique,travail en feuille,argenté§rouge,,,argent,caractérisé,microsonde§coloration§MFX,,1988,La feuille d'argent placée sous la laque rouge présente un noircissement lié à la formation de sulfure d'argent. ,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Martin, Rapport 3137a (dossier EROS F11258) 23/11/1988 - , Centre de Recherche et de Restauration des Musées de France, Paris, D11258§Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",427f8776-5e50-44ce-96df-a1b9a555802e§412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,vitrail de gauche,f15e4e4b-70ca-4406-aa3c-560c9e64b118_010§coupe5867,coupe5867c04§quart supérieur dextre,Couche picturale,superposition peinture,rouge§rouge translucide,30 µm,,,caractérisé,microsonde§coloration§MFX,,1988,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Martin, Rapport 3137a (dossier EROS F11258) 23/11/1988 - , Centre de Recherche et de Restauration des Musées de France, Paris, D11258§Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",427f8776-5e50-44ce-96df-a1b9a555802e§412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
